batch_size,epochs,model__activation,model__dropout_rate,model__optimizer,score
4,2000,selu,0.05,rmsprop,-0.22647891239084333
2,2000,selu,0.2,rmsprop,-0.22652135765852804
2,2000,elu,0.1,rmsprop,-0.22654085129784102
4,2000,tanh,0.1,adam,-0.22668034552125885
4,2000,elu,0.1,rmsprop,-0.22675949131576367
4,2000,selu,0.1,adam,-0.226904453288866
8,2000,sigmoid,0.1,rmsprop,-0.22694804510570363
16,2000,tanh,0.1,adamax,-0.2269964800025715
32,2000,selu,0.25,adamax,-0.22702531906814546
4,2000,sigmoid,0.1,rmsprop,-0.22702713641526037
4,2000,softplus,0.2,adam,-0.22719046357762449
4,2000,elu,0.05,adam,-0.22719876405040978
8,2000,softplus,0.05,rmsprop,-0.22728008853838458
16,2000,tanh,0.1,sgd,-0.22762594699638194
4,2000,softplus,0.05,adam,-0.22769593116557585
2,2000,tanh,0.15,rmsprop,-0.22775996783287183
16,2000,selu,0.1,adamax,-0.22786470609968448
4,2000,sigmoid,0.15,adam,-0.2278814474658899
4,2000,tanh,0.05,adam,-0.22793612535541685
2,2000,softplus,0.25,adam,-0.22801331536187058
32,2000,selu,0.15,adamax,-0.2281215977718338
2,2000,relu,0.2,adamax,-0.22814734005247245
4,2000,selu,0.05,adam,-0.22818837900613786
4,2000,sigmoid,0.2,adam,-0.22818864034833136
2,2000,sigmoid,0.2,rmsprop,-0.2283803588146607
32,2000,selu,0.2,adamax,-0.22852086230806956
2,2000,selu,0.05,rmsprop,-0.22854962673398216
32,2000,selu,0.1,adamax,-0.22855074418732946
16,2000,relu,0.2,adam,-0.22868790504339429
2,2000,sigmoid,0.1,adam,-0.2287701638193833
4,2000,sigmoid,0.05,rmsprop,-0.22893981174140257
2,2000,sigmoid,0.2,adam,-0.22902277430106935
2,2000,softplus,0.15,adamax,-0.2291286692268327
2,2000,sigmoid,0.1,rmsprop,-0.22929542107783826
2,2000,selu,0.1,rmsprop,-0.22930779586590883
2,2000,tanh,0.05,rmsprop,-0.2297430876260389
32,2000,elu,0.15,adamax,-0.22982993802259655
2,2000,elu,0.05,rmsprop,-0.22991346170189553
8,2000,softplus,0.15,rmsprop,-0.2299586031869137
4,2000,relu,0.15,sgd,-0.22999569545769682
8,2000,softplus,0.25,adam,-0.23004639162848184
32,2000,elu,0.1,adamax,-0.23006796794474585
2,2000,relu,0.25,sgd,-0.23014954069278093
2,2000,tanh,0.05,adam,-0.2303067980853071
2,2000,softplus,0.1,adam,-0.2303285703663211
4,2000,sigmoid,0.25,adam,-0.23037723303595747
2,2000,tanh,0.1,rmsprop,-0.23044986989331423
8,2000,sigmoid,0.25,adam,-0.23047715024164078
16,2000,tanh,0.15,sgd,-0.23056802389865227
4,2000,softplus,0.15,rmsprop,-0.23058585530269876
2,2000,softplus,0.15,adam,-0.2307907605228839
2,2000,tanh,0.1,adam,-0.23098332040604086
8,2000,relu,0.25,sgd,-0.23101931324085068
8,2000,softplus,0.05,adam,-0.23128196827783032
2,2000,relu,0.15,adamax,-0.23133948069196403
8,2000,sigmoid,0.05,rmsprop,-0.23166874580582636
2,2000,softplus,0.2,adamax,-0.23175271814218396
16,2000,tanh,0.05,sgd,-0.2317591574435259
4,2000,sigmoid,0.15,rmsprop,-0.2320010168003176
16,2000,elu,0.25,sgd,-0.23202302016699952
4,2000,softplus,0.05,adamax,-0.23214658606344618
16,2000,elu,0.2,sgd,-0.23217907725981074
8,2000,softplus,0.1,rmsprop,-0.2322039894074039
