batch_size,epochs,model__activation,model__dropout_rate,model__optimizer,score
16,10,sigmoid,0.25,adamax,-0.6093178352439006
16,10,tanh,0.1,adam,-0.6153189371720901
32,10,sigmoid,0.25,rmsprop,-0.6179999860472908
8,10,tanh,0.15,adamax,-0.6192674584221916
16,10,selu,0.25,rmsprop,-0.626982102359835
16,10,tanh,0.05,rmsprop,-0.6294892012346225
8,10,sigmoid,0.1,adam,-0.62984386191669
16,10,selu,0.1,rmsprop,-0.6299776201515237
16,10,selu,0.1,adam,-0.6359931837247234
8,10,tanh,0.15,adam,-0.6377862056711161
8,10,relu,0.1,rmsprop,-0.6380314077374254
16,10,elu,0.25,rmsprop,-0.6392699975768991
32,10,selu,0.15,adamax,-0.643784550176179
8,10,softplus,0.05,adamax,-0.6440398004710735
16,10,selu,0.15,adam,-0.6443803133261186
32,10,sigmoid,0.05,adam,-0.6460023197956077
4,10,relu,0.05,adamax,-0.6468526362837539
8,10,softplus,0.2,rmsprop,-0.6494221272074523
16,10,selu,0.1,adamax,-0.6505534941763422
16,10,selu,0.25,adamax,-0.6513614223721388
8,10,elu,0.15,adamax,-0.6514381320833385
32,10,relu,0.25,sgd,-0.6532464136598796
32,10,tanh,0.25,sgd,-0.6560356075785841
32,10,relu,0.1,sgd,-0.6561410997531283
8,10,relu,0.2,rmsprop,-0.6596904774395802
8,10,elu,0.25,adamax,-0.6651988230278124
32,10,relu,0.15,sgd,-0.6667590596843103
32,10,softplus,0.2,adamax,-0.6676182313123697
32,10,softplus,0.15,adam,-0.6713438306484019
16,10,tanh,0.05,adam,-0.6717868638549928
16,10,selu,0.05,adam,-0.6722919755555338
16,10,elu,0.05,rmsprop,-0.6730440839683803
16,10,tanh,0.15,rmsprop,-0.6806162935949771
16,10,selu,0.2,rmsprop,-0.6811057271678628
16,10,relu,0.05,rmsprop,-0.6812534967012018
8,10,relu,0.25,adamax,-0.6838281510398186
8,10,relu,0.05,adamax,-0.685571826804634
16,10,elu,0.15,adam,-0.6862124766087263
32,10,selu,0.15,rmsprop,-0.6892065805806689
16,10,softplus,0.15,adamax,-0.6900561911564225
32,10,tanh,0.1,sgd,-0.6956551472152197
16,10,elu,0.05,adam,-0.6962370412980698
16,10,elu,0.2,rmsprop,-0.69694877475462
32,10,elu,0.05,rmsprop,-0.7020675221805597
8,10,sigmoid,0.2,rmsprop,-0.7027401373972285
16,10,elu,0.15,rmsprop,-0.7043443877041483
8,10,relu,0.15,adamax,-0.7044193547293417
16,10,selu,0.25,adam,-0.7108712613698014
8,10,elu,0.05,adamax,-0.7111507832256243
16,10,tanh,0.2,rmsprop,-0.7116148499866586
16,10,tanh,0.2,adamax,-0.7139821272644185
16,10,relu,0.15,rmsprop,-0.7140342448381118
32,10,selu,0.1,adam,-0.7150948993387348
16,10,relu,0.1,adam,-0.7171309594422601
32,10,selu,0.25,rmsprop,-0.7178822878377813
32,10,softplus,0.2,rmsprop,-0.7222833500022956
32,10,selu,0.2,adamax,-0.7242946088535593
16,10,selu,0.15,adamax,-0.7280478814264267
8,10,relu,0.2,adam,-0.7312895462197544
16,10,elu,0.1,rmsprop,-0.7362874280957186
8,10,sigmoid,0.15,rmsprop,-0.737993042266758
16,10,selu,0.15,rmsprop,-0.7393962927307092
8,10,relu,0.25,adam,-0.7396350608262754
16,10,tanh,0.25,adamax,-0.7430639732427136
8,10,relu,0.2,adamax,-0.7439664413520344
16,10,tanh,0.1,rmsprop,-0.7468390026677443
