activation,batch_size,dropout_rate,epochs,neurons,optimizer,verbose,score
relu,16,0.2,2000,10,adam,0,-0.09168431907892227
tanh,32,0.25,2000,10,sgd,0,-0.09171827509999275
relu,32,0.15,2000,10,adam,0,-0.09174102172255516
softplus,8,0.1,2000,10,adam,0,-0.09175067022442818
softplus,4,0.15,2000,10,adamax,0,-0.09178044274449348
elu,64,0.05,2000,10,sgd,0,-0.0917837806046009
sigmoid,8,0.2,2000,10,rmsprop,0,-0.09178423881530762
relu,8,0.15,2000,10,sgd,0,-0.0917959026992321
selu,64,0.15,2000,10,adamax,0,-0.09180112555623055
elu,64,0.1,2000,10,sgd,0,-0.09184566512703896
softplus,16,0.1,2000,10,adam,0,-0.09186650067567825
sigmoid,16,0.15,2000,10,rmsprop,0,-0.09190860390663147
sigmoid,4,0.1,2000,10,adam,0,-0.09195639938116074
selu,64,0.25,2000,10,adamax,0,-0.0919615849852562
relu,8,0.25,2000,10,adam,0,-0.09204882010817528
tanh,64,0.05,2000,10,sgd,0,-0.0920654870569706
tanh,64,0.2,2000,10,adamax,0,-0.09206593409180641
sigmoid,4,0.15,2000,10,rmsprop,0,-0.09209732711315155
softplus,4,0.05,2000,10,adamax,0,-0.09210187941789627
sigmoid,8,0.25,2000,10,rmsprop,0,-0.09211266413331032
softplus,8,0.25,2000,10,rmsprop,0,-0.09214115142822266
sigmoid,16,0.1,2000,10,rmsprop,0,-0.09219677746295929
elu,64,0.25,2000,10,adamax,0,-0.0922354981303215
sigmoid,4,0.15,2000,10,adamax,0,-0.09223726391792297
sigmoid,16,0.2,2000,10,rmsprop,0,-0.09227177500724792
relu,32,0.1,2000,10,sgd,0,-0.09236694872379303
relu,16,0.25,2000,10,sgd,0,-0.09237167611718178
tanh,64,0.25,2000,10,adamax,0,-0.09238270670175552
softplus,4,0.1,2000,10,adam,0,-0.09239645302295685
sigmoid,4,0.25,2000,10,adam,0,-0.09242109954357147
relu,64,0.05,2000,10,sgd,0,-0.09242349863052368
softplus,4,0.25,2000,10,rmsprop,0,-0.09242704510688782
tanh,64,0.1,2000,10,sgd,0,-0.09244369715452194
softplus,8,0.25,2000,10,adam,0,-0.09246775507926941
relu,32,0.05,2000,10,sgd,0,-0.09248783811926842
relu,8,0.1,2000,10,rmsprop,0,-0.09248954430222511
sigmoid,4,0.15,2000,10,adam,0,-0.09250688552856445
elu,64,0.05,2000,10,adamax,0,-0.09253711998462677
sigmoid,4,0.2,2000,10,adam,0,-0.09254708513617516
sigmoid,16,0.05,2000,10,adam,0,-0.09254991263151169
softplus,16,0.15,2000,10,adam,0,-0.09256637841463089
softplus,8,0.15,2000,10,adamax,0,-0.09256787970662117
relu,64,0.15,2000,10,rmsprop,0,-0.09264302253723145
sigmoid,4,0.2,2000,10,adamax,0,-0.092645313590765
tanh,64,0.15,2000,10,adamax,0,-0.09266277030110359
softplus,16,0.2,2000,10,rmsprop,0,-0.09272350370883942
sigmoid,4,0.25,2000,10,adamax,0,-0.09275002032518387
tanh,4,0.05,2000,10,adam,0,-0.09281500801444054
softplus,4,0.25,2000,10,adamax,0,-0.0928492322564125
tanh,64,0.05,2000,10,adamax,0,-0.0929187461733818
relu,32,0.25,2000,10,adamax,0,-0.09298904240131378
softplus,4,0.2,2000,10,rmsprop,0,-0.09301401302218437
sigmoid,8,0.1,2000,10,adamax,0,-0.09301809966564178
softplus,8,0.2,2000,10,adamax,0,-0.09302089735865593
relu,16,0.15,2000,10,sgd,0,-0.0930640883743763
relu,32,0.15,2000,10,rmsprop,0,-0.09314831346273422
sigmoid,8,0.25,2000,10,adamax,0,-0.09316831454634666
tanh,4,0.25,2000,10,adam,0,-0.09318630769848824
softplus,32,0.25,2000,10,rmsprop,0,-0.09326158091425896
tanh,64,0.15,2000,10,sgd,0,-0.09326370432972908
sigmoid,4,0.1,2000,10,rmsprop,0,-0.09327578544616699
tanh,64,0.1,2000,10,adamax,0,-0.09333862736821175
softplus,16,0.2,2000,10,adam,0,-0.0933518260717392
softplus,8,0.2,2000,10,rmsprop,0,-0.09338871389627457
softplus,4,0.25,2000,10,adam,0,-0.09340165928006172
relu,64,0.15,2000,10,adamax,0,-0.09341375902295113
relu,64,0.25,2000,10,rmsprop,0,-0.09344183281064034
sigmoid,16,0.2,2000,10,adam,0,-0.09347140416502953
softplus,64,0.2,2000,10,rmsprop,0,-0.09347207099199295
relu,64,0.05,2000,10,adam,0,-0.09349174052476883
