activation,batch_size,dropout_rate,epochs,neurons,optimizer,verbose,score
relu,16,0.25,2000,10,adamax,0,-0.22795945405960083
sigmoid,8,0.2,2000,10,adamax,0,-0.2279822900891304
relu,8,0.1,2000,10,adam,0,-0.22803180664777756
relu,32,0.05,2000,10,sgd,0,-0.22839542478322983
selu,64,0.25,2000,10,sgd,0,-0.22864056378602982
relu,16,0.2,2000,10,adam,0,-0.2288806214928627
relu,16,0.1,2000,10,adam,0,-0.22920695692300797
elu,32,0.05,2000,10,sgd,0,-0.22941020876169205
tanh,16,0.1,2000,10,sgd,0,-0.22941827028989792
relu,16,0.05,2000,10,adam,0,-0.2296791970729828
relu,8,0.25,2000,10,rmsprop,0,-0.2297399565577507
selu,64,0.15,2000,10,sgd,0,-0.23000779002904892
softplus,32,0.1,2000,10,adam,0,-0.23061560094356537
sigmoid,8,0.1,2000,10,rmsprop,0,-0.23068539053201675
relu,32,0.2,2000,10,rmsprop,0,-0.23092133551836014
sigmoid,8,0.1,2000,10,adamax,0,-0.2309843674302101
softplus,32,0.05,2000,10,adam,0,-0.23107564449310303
relu,16,0.1,2000,10,sgd,0,-0.23117169737815857
elu,16,0.2,2000,10,sgd,0,-0.2311880961060524
softplus,4,0.1,2000,10,sgd,0,-0.23131046444177628
softplus,16,0.15,2000,10,adamax,0,-0.2314314767718315
tanh,16,0.15,2000,10,sgd,0,-0.23156176507472992
relu,8,0.15,2000,10,rmsprop,0,-0.23170503228902817
relu,64,0.15,2000,10,adam,0,-0.23195559531450272
relu,16,0.15,2000,10,sgd,0,-0.23219193518161774
selu,8,0.1,2000,10,adam,0,-0.23225003480911255
softplus,8,0.25,2000,10,adamax,0,-0.2323555201292038
sigmoid,4,0.15,2000,10,rmsprop,0,-0.23274001479148865
tanh,16,0.25,2000,10,sgd,0,-0.2327527105808258
sigmoid,8,0.15,2000,10,rmsprop,0,-0.23300866037607193
softplus,64,0.05,2000,10,adamax,0,-0.23305951803922653
selu,64,0.2,2000,10,sgd,0,-0.23318234831094742
tanh,4,0.05,2000,10,adam,0,-0.23348377645015717
tanh,16,0.2,2000,10,sgd,0,-0.2335023209452629
softplus,32,0.05,2000,10,adamax,0,-0.23355606943368912
softplus,16,0.25,2000,10,adamax,0,-0.23357120156288147
sigmoid,4,0.2,2000,10,rmsprop,0,-0.23373017460107803
selu,4,0.2,2000,10,adam,0,-0.23375270515680313
relu,8,0.15,2000,10,adam,0,-0.233868807554245
elu,32,0.1,2000,10,sgd,0,-0.23440802097320557
softplus,4,0.05,2000,10,sgd,0,-0.2344532608985901
elu,32,0.15,2000,10,sgd,0,-0.23472755402326584
relu,4,0.15,2000,10,adam,0,-0.2350168526172638
relu,32,0.25,2000,10,sgd,0,-0.23545362055301666
sigmoid,4,0.25,2000,10,rmsprop,0,-0.23554177582263947
sigmoid,16,0.1,2000,10,adam,0,-0.23609716445207596
sigmoid,16,0.05,2000,10,adamax,0,-0.23618926852941513
sigmoid,8,0.25,2000,10,rmsprop,0,-0.2363005429506302
sigmoid,64,0.25,2000,10,rmsprop,0,-0.236357219517231
relu,32,0.2,2000,10,adam,0,-0.23673013597726822
relu,32,0.1,2000,10,adam,0,-0.23698414862155914
sigmoid,16,0.15,2000,10,adam,0,-0.23765254765748978
tanh,32,0.05,2000,10,sgd,0,-0.23780681192874908
sigmoid,64,0.05,2000,10,adam,0,-0.23794174939393997
sigmoid,32,0.15,2000,10,adam,0,-0.23798192292451859
relu,8,0.2,2000,10,adamax,0,-0.23799718916416168
elu,64,0.25,2000,10,sgd,0,-0.23801447451114655
elu,32,0.25,2000,10,sgd,0,-0.23809419572353363
relu,32,0.2,2000,10,sgd,0,-0.23824305087327957
relu,64,0.1,2000,10,adamax,0,-0.2383672073483467
relu,4,0.25,2000,10,rmsprop,0,-0.2384178340435028
sigmoid,16,0.1,2000,10,adamax,0,-0.23858756572008133
elu,64,0.05,2000,10,sgd,0,-0.2386520504951477
softplus,64,0.1,2000,10,adamax,0,-0.2387026995420456
softplus,16,0.1,2000,10,rmsprop,0,-0.2388424277305603
softplus,16,0.1,2000,10,adamax,0,-0.2388719990849495
tanh,32,0.25,2000,10,sgd,0,-0.23940429836511612
sigmoid,16,0.25,2000,10,adam,0,-0.23953110724687576
tanh,32,0.2,2000,10,sgd,0,-0.23955721408128738
tanh,64,0.05,2000,10,sgd,0,-0.2396230772137642
sigmoid,32,0.15,2000,10,rmsprop,0,-0.23970835655927658
relu,8,0.15,2000,10,adamax,0,-0.23982073366641998
softplus,64,0.05,2000,10,adam,0,-0.23991578072309494
relu,8,0.2,2000,10,rmsprop,0,-0.23993973433971405
tanh,64,0.1,2000,10,sgd,0,-0.23999496549367905
sigmoid,64,0.1,2000,10,rmsprop,0,-0.2400364801287651
sigmoid,16,0.25,2000,10,rmsprop,0,-0.2400456666946411
tanh,32,0.15,2000,10,sgd,0,-0.24006472527980804
softplus,4,0.2,2000,10,adamax,0,-0.24007704854011536
tanh,32,0.1,2000,10,sgd,0,-0.24016731977462769
sigmoid,32,0.05,2000,10,adamax,0,-0.24019181728363037
relu,32,0.15,2000,10,sgd,0,-0.2404482588171959
elu,64,0.15,2000,10,sgd,0,-0.2405269294977188
tanh,64,0.2,2000,10,sgd,0,-0.24065685272216797
elu,64,0.2,2000,10,sgd,0,-0.24083071947097778
softplus,16,0.25,2000,10,rmsprop,0,-0.2410605251789093
relu,32,0.15,2000,10,adamax,0,-0.24114295095205307
softplus,32,0.25,2000,10,adam,0,-0.24126145988702774
relu,32,0.25,2000,10,rmsprop,0,-0.24135228246450424
softplus,8,0.2,2000,10,rmsprop,0,-0.24153216183185577
sigmoid,64,0.05,2000,10,adamax,0,-0.24178791046142578
softplus,16,0.2,2000,10,rmsprop,0,-0.24179180711507797
